Table S1. Endogenous mRNA stability,,,,,
,,,,,
All half-lives are in hours,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 1 and 4,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 2 and 3,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cel lines 5 and 6,,,,,
DMSO: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with DMSO,,,,,
4EGI-1: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with 4EGI-1,,,,,
,,,,,
Gene.Name,Cell lines 1 and 4,Cell lines 2 and 3,Cell lines 5 and 6,DMSO treatment,4EGI-1 treatment
AGFG2,14.008958,0.860919386,0.739085605,2.934623212,5.507235861
AGGF1,12.54006978,NA,0.536218899,5.164245875,2.36552256
AGK,15.25043988,1.163290264,1.56846271,4.72943532,5.300252837
AGL,3.825155264,NA,NA,1.354709464,2.436260817
AGMAT,NA,3.368939462,4.511688286,NA,NA
AGO1,22.95868914,1.522668288,1.641136659,5.7390047,6.084869763
AGO2,11.64758257,0.656924491,1.243660762,4.855136075,13.03733304
AGO3,18.18479749,0.608097593,1.03550347,14.01025634,6.448134646
AGO4,11.38125697,0.30196418,NA,2.371905812,3.438130279
AGPAT2,NA,3.30985254,3.635692472,NA,NA
AGPAT3,12.76846871,NA,1.950847027,4.884816491,2.243184898
AGPAT4,26.33783289,1.090520561,1.426615041,7.230631183,9.061482316
AGPAT5,7.478048881,NA,0.304311675,3.770422515,4.676343992
AGPS,4.542560112,NA,NA,2.088382359,3.788767425
AGRN,26.3607163,5.081142795,2.826742708,3.720031057,3.652636717
AGTPBP1,5.700992955,NA,0.286877625,1.872384941,5.294611819
AGTR1,NA,NA,NA,2.932960871,4.203306435
AGTRAP,NA,15.92687421,18.20075038,29.75817034,5.002357316
AHCTF1,3.890089001,NA,NA,2.305909738,6.508143725
AHCYL1,15.08838573,1.155231456,1.080138403,6.372700848,5.258447377
AHCYL2,16.30108513,NA,NA,5.317804865,3.942374701
AHCY,NA,57.64405604,28.83836418,44.83936319,NA
AHDC1,4.327211624,0.354727211,0.466122974,3.699243389,4.653969091
AHI1,3.872640611,NA,NA,1.144149541,2.947473543
AHNAK2,37.30433311,0.43009156,1.268247618,3.060120583,1.721710896
AHNAK,NA,0.703240978,1.029833608,NA,NA
AHRR,6.900154004,1.136054658,0.66249154,3.624682685,2.267182142
AHR,3.671756601,NA,NA,2.366726348,2.62258625
AHSA1,49.57666643,6.35737519,15.7238054,NA,7.706636652
AHSA2,3.735529202,0.129026499,NA,NA,8.398738891
AIF1L,84.76527745,11.04705617,16.61684479,25.28128515,15.46772263
AIFM1,46.97378313,8.345773284,8.289567284,19.60541478,3.5927483
AIFM2,15.95178103,0.825138073,3.889214858,17.53420503,NA
AIG1,NA,154.2250067,NA,NA,4.81112103
AIM1L,51.93428839,6.250293191,2.396057815,15.97680326,NA
AIM1,1.702896423,NA,NA,NA,NA
AIMP1,21.08848494,1.880940648,3.068527364,23.25617166,8.296399911
AIMP2,5.272164171,1.450873908,1.707292666,3.093666963,3.007248689
AIP,NA,NA,NA,NA,32.77484097
AJUBA,11.10048514,0.837684958,1.069231655,12.64177434,2.288023813
AK1,NA,86.71614515,56.39579101,NA,11.52409982
AK2,NA,11.4580387,22.36018586,NA,30.25365379
AK3,14.32170731,1.547489305,2.491409528,53.34278461,13.72014977
AK4,3.485727957,NA,NA,2.779889059,16.72104206
AK5,13.46524634,0.8049209,NA,11.31761526,2.010457437
AK7,11.30913318,1.169929437,NA,4.148618616,3.984005451
AK8,9.755571534,NA,NA,NA,2.415966498
AK9,7.490771569,NA,NA,1.666364645,1.972227004
AKAP10,7.041941127,NA,NA,4.035639334,3.735398648
AKAP11,5.452349587,NA,NA,3.2392455,2.775631674
AKAP12,7.864724214,0.339735576,0.346728829,7.883320823,3.726683356
AKAP13,3.365559515,NA,NA,1.77011934,2.139767595
AKAP1,5.928582913,0.59952058,0.742665235,4.089669059,3.485818539
AKAP3,25.23272032,1.769800005,2.018671073,NA,0.920477619
AKAP5,4.144298395,NA,NA,4.443919821,0.319408466
AKAP6,2.472998125,NA,0.369504291,1.586076859,1.174715597
AKAP7,1.475113831,NA,NA,0.897271626,2.715358188
AKAP8L,13.47987607,5.073707833,5.535154773,17.82078712,8.077284658
AKAP8,3.275349382,0.480167791,0.640705825,2.78233651,2.328984112
AKAP9,5.455339002,NA,NA,1.790981351,12.11549803
AKIP1,8.723215,3.204211237,3.78274699,11.43490469,7.477300547
AKIRIN1,5.67158996,0.606657824,0.735159085,8.405711663,3.843808984
AKIRIN2,7.19408435,0.512761763,0.481485,9.134473248,1.737078519
AKNA,16.1869604,0.462790751,0.992468921,1.779633077,70.84538758
AKR1A1,NA,NA,NA,NA,9.200460724
AKR1B1,NA,NA,NA,NA,10.70494268
AKR7A2,NA,NA,NA,NA,6.282217792
AKT1S1,NA,NA,NA,NA,3.775752171
AKT1,69.01873941,4.192974435,4.674501441,6.943018541,7.227792509
AKT2,15.97246975,3.987177061,4.820695414,7.551052966,10.342386
AKTIP,17.82248198,NA,1.035937592,8.665360238,18.96697257
ALAD,74.19020281,3.093971455,2.949827949,878.6803491,6.640589984
ALAS1,6.844366645,0.656405432,0.913562044,4.855057822,5.978309094
ALB,NA,NA,NA,NA,5.798571329
ALCAM,8.469454252,NA,NA,1.392208434,6.553467889
ALDH16A1,51.86859294,5.471287426,4.388992631,4.352300757,3.849248305
ALDH18A1,21.62049221,2.655187072,3.779878046,12.62816629,6.316323492
ALDH1A2,NA,8.349509743,8.17125517,NA,6.617637942
ALDH1A3,6.684540818,0.414604064,0.176712535,1.824069768,5.343245406
ALDH1B1,3.543783254,0.764544809,0.967187228,3.489060929,1.079010387
ALDH1L2,10.31178091,0.269422805,NA,0.830509895,11.61375751
ALDH2,NA,31.04951398,11.99904843,105.6185577,NA
ALDH3A1,NA,4.586025668,3.943199871,1.812827447,2.069002999
ALDH3A2,6.174470832,1.181293291,1.601328731,4.412039058,3.962216013
ALDH4A1,NA,12.74679265,12.76748893,70.8661698,2.247961733
